Team,Matches,Goals_Scored,Goals_Conceded
Manchester City,106,228,100
Arsenal,107,221,85
Liverpool,106,221,121
Aston Villa,106,174,149
Tottenham,106,178,173
Chelsea,106,194,141
Newcastle,106,216,152
Manchester Utd,106,156,153
West Ham,106,142,191
Crystal Palace,106,141,151
Brighton,106,160,157
Bournemouth,106,156,199
Fulham,106,149,158
Wolves,107,128,184
Everton,106,116,131
Brentford,106,168,164
Nottingham,106,135,176
Burnley,106,115,214
Luton,106,108,230
Sheffield Utd,106,91,250
